GTIN,EXTERNAL_ID,NAME,STOCK,PRICE,MPN,DESCRIPTION,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,IMAGE11,IMAGE12,IMAGE13,IMAGE14,IMAGE15,IMAGE16,CATEGORY,BRAND,COLOR,SIZE,MATERIAL
,people-of-shibuya-hoshi-pm802-black-jacket-black-50,People of Shibuya HOSHI PM802 Black Jacket,1,413.51,,"People Of Shibuya padded jacket with thermal insulation in technical fabric, blue colour. Side pockets, zip and button front fastening. Composition: 100% Polyester Made in: China",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_fd865515-6d99-4d2b-b732-8f958c974d4f.jpg?v=1773674208,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_a99bae0d-6f3c-4608-8c46-f0be05b0f28b.jpg?v=1773674214,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_50bd061a-6459-49fc-aa0d-68f3d0dec4a8.jpg?v=1773674214,,,,,,,,,,,,,,"Jackets, Coats & Jackets",people of shibuya,Black,50,
8059579095339,dolce-gabbana-black-nylon-logo-bomber-jacket-black-52,DOLCE & GABBANA Black Nylon Logo Bomber Jacket,1,2128.18,,"Discover timeless Italian craftsmanship with this DOLCE & GABBANA black nylon bomber jacket. Featuring a full-zip closure, dual front pockets, and interior storage, this essential piece showcases signature logo detailing. Constructed entirely from premium nylon with matching lining, it delivers both style and durability. Made in Italy. Tag size IT52. Model: Bomber jacket Color : Black Full zipper closure Two front pockets and two inside pockets Logo details Made in Italy Material : 100% Nylon Lining: 100% Nylon",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_11.webp?v=1772963364,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_14.webp?v=1772963364,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_13.webp?v=1772963364,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_16.webp?v=1772963364,,,,,,,,,,,,,"Jackets, Coats & Jackets",Dolce & Gabbana,Black,52,
,dolce-gabbana-dark-blue-logo-crown-cotton-crew-neck-t-shirt-,Dolce & Gabbana Dark Blue Logo Crown Cotton Crew Neck T-shirt,1,530.93,,"Elevate your everyday wardrobe with this iconic Dolce & Gabbana crew neck t-shirt, crafted from premium 100% cotton in a sophisticated dark blue. Featuring the brand's signature logo crown print, this regular-fit short-sleeve essential combines Italian craftsmanship with timeless style. Perfect for layering or wearing solo, it's a versatile luxury piece that effortlessly transitions from casual to refined occasions. Art#: G8IW5T G7OHN Model: Short sleeve crew neck t-shirt Colour: Dark Blue Material: 100% Cotton Fitting: Regular Fit Logo details Made in Italy",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um13.00.52.png?v=1772625820,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um13.01.17.png?v=1772625820,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um13.01.10.png?v=1772625820,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um13.01.03.png?v=1772625820,,,,,,,,,,,,,T-Shirts,Dolce & Gabbana,Blue,IT52 | XL,
,dolce-gabbana-beige-hazelnut-silk-shortsleeve-shirt-t-shirt-,Dolce & Gabbana Beige Hazelnut Silk Shortsleeve Shirt T-shirt,1,707.03,,"Dolce & Gabbana T-shirt crafted in Italy from 100% premium silk, this piece offers a silky soft feel and a subtle sheen in a refined white-beige hazelnut color. The classic crew neck and short sleeves provide timeless style with an elevated finish. Model: Shortsleeves T-shirt Color: white-beige hazelnut / grey Material: 100% Silk Fitting: Regular Fit Logo details Made in Italy",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.44.09.png?v=1772624875,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.45.03.png?v=1772624875,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.44.53.png?v=1772624875,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.44.46.png?v=1772624875,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.44.33.png?v=1772624875,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/Bildschirmfoto2026-03-04um12.44.17.png?v=1772624875,,,,,,,,,,,T-Shirts,Dolce & Gabbana,Grey,IT50 | L,
8057765946854,comme-des-fuckdown-beige-hat-marrone,Comme des Fuckdown Beige Hat,1,153.15,,Comme des Fuckdown acrylic knit hat with embossed logo embroidery,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_15dd2b5b-c942-47f6-80b6-26028943add1.jpg?v=1769532399,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_6f95c3a6-badd-4a61-989c-ac6ef419f936.jpg?v=1769532405,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_4bbbe1e2-90b0-4f36-a454-7eaed8bce8b0.jpg?v=1769532406,,,,,,,,,,,,,,Hats,Comme Des Fuckdown,marrone,,
4062063389481,adidas-ozweego-w-fw2736-violet-women-sneakers-white-40,Adidas OZWEEGO W FW2736 Violet Women Sneakers,1,431.36,,"Adidas OZWEEGO W FW2736 in striking violet delivers contemporary sneaker design with a synthetic and suede upper for refined texture contrast. The fabric-lined interior ensures comfort throughout the day, while the rubber sole provides reliable traction and durability. With a modest 2.5 cm heel and 1.5 cm platform, this silhouette maintains a grounded aesthetic. Note that this style runs small—sizing up is recommended for an optimal fit. Type: Sneakers Upper: synthetic material suede Internal lining: fabric Sole: rubber Heel height cm: 2.5 Platform height cm: 1.5 Details: fits small",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/936054f0-c62c-11f0-9d0f-ff047a06e79e.jpg?v=1770711203,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/a16d2230-c62c-11f0-9d0f-ff047a06e79e.jpg?v=1770711202,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/9d3f7e10-c62c-11f0-9d0f-ff047a06e79e.jpg?v=1770711203,,,,,,,,,,,,,,"Sneakers, Women",Adidas,White,40,
8059715751181,add-piumino-long-beige-down-womens-jacket-beige-42,Add Piumino long beige down women's jacket,1,1084.86,,"Sophisticated long down jacket in technical polyamide, featuring a streamlined silhouette with snap button detailing and dual-slider zipper system. The adjustable belt refines the waist while the hooded collar provides enhanced coverage. Insulated with premium 95% goose down and 5% duck down for superior warmth and lightweight comfort. Expertly crafted in China. Composition: 100% Polyamide Made in: China",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_cf43f729-20de-463b-883d-dd1b5454b388.jpg?v=1769535683,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_39c1da86-4020-4718-9757-0e36337b9305.jpg?v=1769535689,,,,,,,,,,,,,,,"Jackets, Coats & Jackets, Women",add,beige,42,
8059792134402,prada-black-leather-oxfords-and-derbies-black-38,Prada Men’s Leather Oxfords and Derbies,1,1937.24,,Men’s leather oxfords and derbies designed with a round toe and a structured profile. Features a rubber sole and a raised heel suitable for everyday wear. Material: Leather Sole: Rubber Toe shape: Round toe Heel height: 5 cm Primary color: Black MPN: 1E280N055050F0967 Gender: Men,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1-front_3.jpg?v=1765792759,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/3-detail_3.jpg?v=1765792759,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/2-side_3.jpg?v=1765792759,,,,,,,,,,,,,,"Flats, Men",Prada,Black,38,
8059792050443,prada-leather-brown-knee-high-boots,Prada Leather Knee-High Boots – Brown,1,4144.14,,"Knee-high boots crafted from leather with a round toe design. Features a leather and rubber sole and a heel height of 9 cm. Finished in brown with cognac as a secondary color. Product type Knee-high boots Primary color Brown Secondary color Cognac Material Leather Sole material Leather, rubber Heel height 9 cm Toe shape Round toe",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8338533_1800x1800_2906db14-0444-4ba8-9e49-8bd9a33a27e8.webp?v=1765790727,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8338586.webp?v=1765790728,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8338554_1800x1800_d4525d47-6b22-4bc2-aa82-3dc92bcbb249.webp?v=1765790728,,,,,,,,,,,,,,Boots,Prada,,,
,yes-zee-womens-blue-quilted-coat-jacket-blu-xs,YES ZEE WOMEN'S BLUE QUILTED COAT JACKET,1,280.78,,"Yes Zee women’s jacket made from technical fabric. Features a drawstring hood, external pockets, and front zip fastening. Product type: Jacket Color: As shown Material: Polyester Hood: Drawstring hood Pockets: External pockets Closure: Front zip fastening Gender: Women",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-1596339519.jpg?v=1765454764,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-404217943.jpg?v=1765454871,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-1107276279.jpg?v=1765454871,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-2033443000.jpg?v=1765454871,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-927301912.jpg?v=1765454871,,,,,,,,,,,,"Coat, Coats & Jackets, Women",Yes Zee,blu,XS,
,parajumpers-pharrell-hooded-bomber-jacket-nero-xl,PARAJUMPERS Nero Hoody Bomber Jacket,1,1864.26,,"Dive into the world of outdoor fashion with the Parajumpers Nero Hoody Bomber Jacket, a true testament to the timeless appeal of the Sheen family's iconic design. This versatile, down-filled jacket, crafted from a luxurious blend of 60% polyester and 40% polyamide, is more than just a piece of outerwear—it's a statement of style and functionality. The Nero Hoody Bomber Jacket boasts a 100% duck down filling, ensuring warmth and comfort in the chilliest of climates. Its shiny finish not only adds a touch of elegance but also showcases the high-quality craftsmanship that Parajumpers is known for. The jacket's simple yet sophisticated design makes it a wardrobe essential for those who appreciate the beauty of minimalism. Featuring an adjustable drawstring hood, the Nero Hoody Bomber Jacket offers versatile protection against the elements. The front closure is conveniently secured with a two-way zip, allowing for easy on and off. With two outer zippered pockets and two inner pockets, you'll have ample space to keep your essentials close at hand. The jacket's thoughtful design includes ribbed cuffs and a bottom, ensuring a snug fit that keeps the cold out while maintaining a sleek silhouette. The iconic Parajumpers patch on the sleeve and the vibrant yellow tape closure at the neck add a touch of personality, making this jacket a true conversation starter. Available in the XL size, the Nero Hoody Bomber Jacket is the perfect addition to your outdoor wardrobe. With four available images showcasing its impeccable design, you're sure to find the perfect jacket to elevate your style and keep you warm and comfortable on your next adventure. SHELL: 60% POLYESTER 40% POLYAMIDE LINING 1: 100% POLYAMIDE FILL: 100% DUCK DOWN",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1223217_1.jpg?v=1765449902,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1223218_1.jpg?v=1765449902,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/199489Parajumpers_Heren_pmjckx13_710_pencil_3_2.jpg?v=1765450300,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/539072Parajumpers_Heren_Pharrell_Bomberjack_capuchon_Zwart_3.jpg?v=1765450300,,,,,,,,,,,,,"Jackets, Coats & Jackets",Parajumpers,nero,XL,
,baldinini-trend-men-wool-blue-suit-blue-it58,Baldinini Trend Men Wool Blue Suit,1,927.84,,"Tailored for the discerning gentleman, this Baldinini Trend wool suit combines refined craftsmanship with contemporary elegance. Constructed from 100% pure wool in a sophisticated blue tone, it features a streamlined slim fit that flatters the modern silhouette. The jacket showcases button fastening and long sleeves, while the signature Baldinini logo adds a touch of prestige. The solid color palette ensures versatility for both boardroom and evening occasions, making it an essential investment piece for any luxury wardrobe. Gender: Man Type: Men suit Fastening: buttons Sleeves: long Material: wool 100% Pattern: solid colour Fit: slim Details: visible logo",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/dce74c30-9c4f-11ef-817d-a3eaadeac006.jpg?v=1764323754,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/e9d9cfd0-9c4f-11ef-817d-a3eaadeac006.jpg?v=1764323755,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/e6226d20-9c4f-11ef-817d-a3eaadeac006.jpg?v=1764323755,,,,,,,,,,,,,,"Suits, Men",Baldinini Trend,Blue,IT58,
,dolce-gabbana-brown-leather-fur-button-biker-coat-mens-jacke,Dolce & Gabbana Brown Leather Fur Button Biker Coat Men's Jacket,1,10118.22,,"This Dolce & Gabbana biker jacket exemplifies Italian craftsmanship with its supple lambskin leather construction and distinctive fur-trimmed collar. The streamlined silhouette features a full-length zipper, six functional pockets for practicality, and signature branding throughout. Meticulously tailored in Italy, this brown leather piece delivers timeless edge with refined luxury detailing—an essential investment for the discerning wardrobe. Model: Biker collared jacket Color: Brown Material: 100% Lambskin Leather Full zipper closure Four outside pockets and two inside pockets Logo details Made in Italy",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809424.webp?v=1764318839,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809408.webp?v=1764318839,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809414.webp?v=1764318839,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809417.webp?v=1764318840,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809423.webp?v=1764318839,,,,,,,,,,,,"Coat, Coats & Jackets, Men",Dolce & Gabbana,Brown,IT44,
8056454261506,dolce-gabbana-gray-wool-stretch-formal-slim-fit-pants-grey-5,Dolce & Gabbana Grey Stretch Formal Trousers,1,628.01,,"Dive into the epitome of Italian sartorial excellence with Dolce & Gabbana's Grey Stretch Formal Trousers, a masterpiece that embodies the essence of Milanese craftsmanship. These trousers are not merely a piece of clothing; they're a statement of sophistication, designed to elevate your wardrobe with their timeless elegance. Crafted with a meticulous eye for detail, these slim-fit trousers are made from a luxurious blend of 97% wool and 3% elastane, ensuring a responsive comfort that complements your movements without compromising on style. The grey wool composition is not just a color choice; it's a nod to the versatility and understated chic that Dolce & Gabbana is renowned for. The trousers boast a structured fit that flatters the figure, with a waist measurement of 50 cm and a front rise of 24 cm, offering a tailored silhouette that's both flattering and fashion-forward. The 100 cm inseam ensures a perfect length that's ideal for various occasions. What sets these trousers apart is the signature logo detailing, a hallmark of Dolce & Gabbana's luxury pedigree. This logo, along with the trousers' unworn condition and original packaging, underscores their collectible status, making them an investment piece for the discerning fashionista. Model: Dress Pants trousers Color: Gray Fitting: Slim fit Material: 97% Wool, 3% Elastane Button and zip fly closure Measurements: Waist: 50 cm Front rise: 24 cm Inseam: 100 cm Made in Italy, these Grey Stretch Formal Trousers are a testament to Dolce & Gabbana's commitment to quality and elegance. With three available images to showcase their impeccable design, these trousers are a must-have for anyone looking to add a touch of Italian luxury to their wardrobe.",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_4.webp?v=1763974255,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_6.webp?v=1763974256,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_5.webp?v=1763974256,,,,,,,,,,,,,,Trousers,Dolce & Gabbana,Grey,54,
0196176650139,jimmy-choo-gian-womens-black-satin-sandals-black-37,Jimmy Choo Platform Sandals,1,2955.81,,"Discover the epitome of sophisticated style with the Jimmy Choo Sandals, a masterpiece of elegance that effortlessly blends luxury with comfort. These sandals are a testament to the iconic design philosophy of Jimmy Choo, featuring a refined black satin exterior that exudes a timeless charm. The Gian sandal's signature aesthetic is brought to life through the use of premium materials and a meticulous construction process, ensuring a perfect balance between fashion and functionality. The model boasts a sleek, high-heeled design with a 14 cm heel height, offering a statuesque silhouette that complements any outfit. The square toe and buckle closure add a touch of modern flair, while the 4 cm external plateau and leather shoe sole provide the necessary support for all-day wear. Crafted from the finest leather, these sandals are not just a statement piece but also a durable investment for your wardrobe.",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339069.jpg?v=1763973184,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339083.jpg?v=1763973184,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339097.jpg?v=1763973184,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339115.jpg?v=1763973184,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339135.jpg?v=1763973184,,,,,,,,,,,,Sandals,Jimmy Choo,Black,37,
,dolce-gabbana-red-cotton-xoxo-polo-t-shirt-red-l,Dolce & Gabbana Men's Red XOXO Print Polo Shirt,1,2998.71,,"The perfect blend of style and elegance with red and black silk-blend Heart-Print Polo Shirt from Dolce & Gabbana. Featuring a unique heart print, classic polo collar, and ribbed edges, this shirt is perfect for any occasion. Model: Short-sleeved polo shirt Color: Red Material: 56% silk, 26% polyurethane, 11% nylon, 7% polyester Fit: Regular fit Button closure Logo details Made in Italy",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_f65a1f9c-9ee1-4d60-b90a-80fc29316035.webp?v=1785877609,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_2_4f4bd089-7e70-4821-b24e-8977f73cb289.webp?v=1785877609,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_1_13ef100e-af97-4f77-8dcb-9d669543a6f2.webp?v=1785877609,,,,,,,,,,,,,,"Polo Shirts, Polos, Men",Dolce & Gabbana,Red,L,
,tommy-hilfiger-alaska-black-polyester-women-puffer-jacket-m,Tommy Hilfiger Alaska Black Polyester Women Puffer Jacket,1,587.09,,"Tommy Hilfiger Alaska Black Polyester Women Puffer Jacket. Equipped with 2 external pockets and an internal one, it promises practicality on the go. The zip closure and smart application detail with the iconic logo add an extra touch of class, all crafted in 95% eco-conscious recycled polyester. Be bold, be trendy, be unmistakably Tommy. Color: Black Material: 100% Polyester Country of origin: VN",https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-polyester-tommy-hilfiger-jacket-59004166-1_2_9dbd5e92-7a93-4abd-b7de-00f92f156c16.webp?v=1763723256,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-polyester-tommy-hilfiger-jacket-59004166-3_2_75a3611d-fd9e-4983-bbd3-59e2714576a9.webp?v=1763723256,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-polyester-tommy-hilfiger-jacket-59004166-2_2_c2df1f28-3317-4715-a5bb-e7a243e3e050.webp?v=1763723256,,,,,,,,,,,,,,"Jackets, Puffer Jackets, Women",Tommy Hilfiger,,M,
